
 SWASH is preparing computation

+SWASH is processing output request    1
[ 79%]   step 481
[ 79%]   step 482
[ 79%]   step 483
[ 79%]   step 484
[ 79%]   step 485
[ 79%]   step 486
[ 80%]   step 487
[ 80%]   step 488
[ 80%]   step 489
[ 80%]   step 490
+SWASH is processing output request    1
[ 80%]   step 491
[ 80%]   step 492
[ 81%]   step 493
[ 81%]   step 494
[ 81%]   step 495
[ 81%]   step 496
[ 81%]   step 497
[ 81%]   step 498
[ 82%]   step 499
[ 82%]   step 500
[ 82%]   step 501
[ 82%]   step 502
[ 82%]   step 503
[ 82%]   step 504
[ 83%]   step 505
[ 83%]   step 506
[ 83%]   step 507
[ 83%]   step 508
[ 83%]   step 509
[ 83%]   step 510
+SWASH is processing output request    1
[ 84%]   step 511
[ 84%]   step 512
[ 84%]   step 513
[ 84%]   step 514
[ 84%]   step 515
[ 84%]   step 516
[ 85%]   step 517
[ 85%]   step 518
[ 85%]   step 519
[ 85%]   step 520
[ 85%]   step 521
[ 85%]   step 522
[ 86%]   step 523
[ 86%]   step 524
[ 86%]   step 525
[ 86%]   step 526
[ 86%]   step 527
[ 86%]   step 528
[ 87%]   step 529
[ 87%]   step 530
+SWASH is processing output request    1
[ 87%]   step 531
[ 87%]   step 532
[ 87%]   step 533
[ 87%]   step 534
[ 88%]   step 535
[ 88%]   step 536
[ 88%]   step 537
[ 88%]   step 538
[ 88%]   step 539
[ 88%]   step 540
[ 89%]   step 541
[ 89%]   step 542
[ 89%]   step 543
[ 89%]   step 544
[ 89%]   step 545
[ 89%]   step 546
[ 90%]   step 547
[ 90%]   step 548
[ 90%]   step 549
[ 90%]   step 550
+SWASH is processing output request    1
[ 90%]   step 551
[ 90%]   step 552
[ 91%]   step 553
[ 91%]   step 554
[ 91%]   step 555
[ 91%]   step 556
[ 91%]   step 557
[ 91%]   step 558
[ 92%]   step 559
[ 92%]   step 560
[ 92%]   step 561
[ 92%]   step 562
[ 92%]   step 563
[ 92%]   step 564
[ 93%]   step 565
[ 93%]   step 566
[ 93%]   step 567
[ 93%]   step 568
[ 93%]   step 569
[ 93%]   step 570
+SWASH is processing output request    1
[ 94%]   step 571
[ 94%]   step 572
[ 94%]   step 573
[ 94%]   step 574
[ 94%]   step 575
[ 94%]   step 576
[ 95%]   step 577
[ 95%]   step 578
[ 95%]   step 579
[ 95%]   step 580
[ 95%]   step 581
[ 95%]   step 582
[ 96%]   step 583
[ 96%]   step 584
[ 96%]   step 585
[ 96%]   step 586
[ 96%]   step 587
[ 96%]   step 588
[ 97%]   step 589
[ 97%]   step 590
+SWASH is processing output request    1
[ 97%]   step 591
[ 97%]   step 592
[ 97%]   step 593
[ 97%]   step 594
[ 98%]   step 595
[ 98%]   step 596
[ 98%]   step 597
[ 98%]   step 598
[ 98%]   step 599
[ 98%]   step 600
[ 99%]   step 601
[ 99%]   step 602
[ 99%]   step 603
[ 99%]   step 604
[ 99%]   step 605
[ 99%]   step 606
[100%]   step 607
[100%]   step 608
[100%]   step 609
[100%]   step 610
+SWASH is processing output request    1
